NUMCLI,NOM_COM,CP,NOM,PRENOM,AGE,Who's WHO
1,ARLES,13123,DESNOUST,Nicolas,21,O
2,ARLES,13129,DUPONT,Jean-Luc,45,N
3,ARLES,13280,DEPARDIEU,Gérard,62,N
4,BEAURECUEIL,13100,PARADIS,Vanessa,44,O
5,LA BOUILLADISSE,13720,SPACEY,Kevin,36,N
6,CABRIES,13480,SMITH,Will,47,O
7,CARRY LE ROUET,13620,LY,Bashir,25,O
8,CHATEAURENARD,13160,NIABA,Victoria,25,N
9,EGUILLES,13510,DESNOUST,Nicolas,21,O
10,EYGUIERES,13430,DUPONT,Jean-Luc,45,N
11,EYRAGUES,13630,DEPARDIEU,Gérard,62,N
12,LA FARE LES OLIVIERS,13580,PARADIS,Vanessa,44,N
13,FUVEAU,13710,SPACEY,Kevin,36,N
14,GARDANNE,13120,SMITH,Will,47,O
15,LANCON PROVENCE,13680,LY,Bashir,25,N
16,MALLEMORT,13370,NIABA,Victoria,25,N
17,MARTIGUES,13500,DESNOUST,Nicolas,21,N
18,LA PENNE SUR HUVEAUNE,13821,DUPONT,Jean-Luc,45,N
19,PEYNIER,13790,DEPARDIEU,Gérard,62,O
20,PEYROLLES EN PROVENCE,13860,PARADIS,Vanessa,44,O
21,PLAN D ORGON,13750,SPACEY,Kevin,36,N
22,PUYLOUBIER,13114,SMITH,Will,47,N
23,ROQUEVAIRE,13360,LY,Bashir,25,N
24,LE ROVE,13740,NIABA,Victoria,25,O
25,ST CHAMAS,13250,DESNOUST,Nicolas,21,N
26,ST MARC JAUMEGARDE,13100,DUPONT,Jean-Luc,45,N
27,ST MITRE LES REMPARTS,13920,DEPARDIEU,Gérard,62,N
28,ST VICTORET,13730,PARADIS,Vanessa,44,N
29,SAUSSET LES PINS,13960,SPACEY,Kevin,36,N
30,SENAS,13560,SMITH,Will,47,N
31,MARSEILLE 09,13009,LY,Bashir,25,O
32,MARSEILLE 13,13013,NIABA,Victoria,25,N
33,MARSEILLE 16,13016,DESNOUST,Nicolas,21,N
34,ALLONS,4170,DUPONT,Jean-Luc,45,N
35,AUBIGNOSC,4200,DEPARDIEU,Gérard,62,N
36,BARRAS,4380,PARADIS,Vanessa,44,N
37,BAYONS,4250,SPACEY,Kevin,36,N
38,BEAUJEU,4420,SMITH,Will,47,N
39,LA BRILLANNE,4700,LY,Bashir,25,N
40,CASTELLANE,4120,NIABA,Victoria,25,N
41,CASTELLET LES SAUSSES,4320,DESNOUST,Nicolas,21,N
42,VAL DE CHALVAGNE,4320,DUPONT,Jean-Luc,45,N
43,LE CHAFFAUT ST JURSON,4510,DEPARDIEU,Gérard,62,O
44,CHATEAUNEUF MIRAVAIL,4200,PARADIS,Vanessa,44,N
45,CHATEAUNEUF VAL ST DONAT,4200,SPACEY,Kevin,36,N
46,CHATEAUREDON,4270,SMITH,Will,47,N
47,CUREL,4200,LY,Bashir,25,N
48,ENCHASTRAYES,4400,NIABA,Victoria,25,N
49,ENTREPIERRES,4200,DESNOUST,Nicolas,21,N
50,ENTREVAUX,4320,DUPONT,Jean-Luc,45,N
51,L ESCALE,4160,DEPARDIEU,Gérard,62,N
52,GANAGOBIE,4310,PARADIS,Vanessa,44,O
53,LURS,4700,SPACEY,Kevin,36,N
54,MONTLAUX,4230,SMITH,Will,47,O
55,LES OMERGUES,4200,LY,Bashir,25,N
56,ONGLES,4230,NIABA,Victoria,25,O
57,PEYRUIS,4310,DESNOUST,Nicolas,21,O
58,MEOLANS REVEL,4340,DUPONT,Jean-Luc,45,N
59,REVEST DES BROUSSES,4150,DEPARDIEU,Gérard,62,N
60,ST ANDRE LES ALPES,4170,PARADIS,Vanessa,44,N
61,HAUTES DUYES,4380,SPACEY,Kevin,36,N
62,ST JULIEN D ASSE,4270,SMITH,Will,47,N
63,ST VINCENT LES FORTS,4340,LY,Bashir,25,N
64,SEYNE,4140,NIABA,Victoria,25,N
65,SIMIANE LA ROTONDE,4150,DESNOUST,Nicolas,21,N
66,THORAME HAUTE,4170,DUPONT,Jean-Luc,45,N
67,VAUMEILH,4200,DEPARDIEU,Gérard,62,N
68,VENTEROL,5130,PARADIS,Vanessa,44,N
69,LE VERNET,4140,SPACEY,Kevin,36,N
70,VILLENEUVE,4180,SMITH,Will,47,N
71,ABRIES,5460,LY,Bashir,25,N
72,ASPRES LES CORPS,5800,NIABA,Victoria,25,O
73,ASPRES SUR BUECH,5140,DESNOUST,Nicolas,21,N
74,BARRET SUR MEOUGE,5300,DUPONT,Jean-Luc,45,N
75,LA BATIE MONTSALEON,5700,DEPARDIEU,Gérard,62,N
